,Temperature,Humidity,Cloudiness,Wind_speed,Latitude
0,53.6,87,75,4.47,53.05
1,84.2,83,75,5.82,17.01
2,49.32,82,98,5.17,62.11
3,46.4,87,0,2.24,62.23
4,47.79,86,100,5.41,53.51
5,55.4,87,90,9.17,8.96
6,53.87,91,54,8.68,-34.0
7,73.1,84,96,5.48,-23.12
8,77.43,83,0,6.93,39.45
9,51.01,75,100,18.01,-46.19
10,75.45,66,57,1.63,-8.93
11,66.62,62,0,2.8,-23.58
12,73.44,77,18,0.58,-2.54
13,68.76,77,1,7.96,41.76
14,72.79,79,23,12.8,-9.65
15,41.0,93,90,6.93,-53.16
16,50.04,73,0,5.3,-33.21
17,80.21,72,5,9.8,-9.8
18,39.2,93,0,5.82,-54.81
19,76.95,88,90,9.17,19.71
20,83.97,72,60,9.55,3.07
21,71.35,87,14,2.19,-0.28
22,80.28,63,25,1.57,46.45
23,39.45,87,99,2.84,77.48
24,47.57,88,35,1.41,57.7
25,74.53,65,0,4.7,41.89
26,74.45,96,90,2.57,-1.8
27,75.09,37,28,19.22,65.73
28,82.55,79,2,19.17,21.46
29,50.94,66,20,9.17,-42.78
30,71.6,64,75,8.05,55.74
31,75.2,94,75,15.23,5.88
32,56.93,96,98,6.38,65.8
33,64.4,52,75,4.7,55.1
34,55.4,93,0,11.61,-22.97
35,63.66,77,90,8.05,40.8
36,78.8,74,4,5.82,-21.21
37,83.39,70,98,9.19,22.98
38,66.42,67,90,16.11,23.99
39,49.24,78,80,14.16,-33.64
40,36.14,60,14,3.58,-15.27
41,66.58,72,1,13.87,34.64
42,69.89,94,40,3.36,-20.34
43,84.24,12,0,9.95,27.03
44,87.35,74,75,9.17,-13.87
45,71.98,80,100,4.32,32.45
46,49.08,59,66,11.41,-43.3
47,54.57,63,44,6.35,-33.02
48,59.56,77,90,12.75,55.34
49,76.89,86,93,9.15,48.6
50,75.99,77,100,1.01,33.2
51,54.0,92,10,1.99,-34.42
52,73.26,82,77,10.4,15.11
53,77.83,87,87,8.5,15.34
54,57.69,71,6,2.55,40.73
55,57.72,87,2,6.73,-14.53
56,80.26,76,63,2.89,11.0
57,48.85,71,93,16.64,61.99
58,50.95,66,20,9.17,-42.88
59,48.15,72,100,12.53,-38.31
60,46.62,87,17,5.91,64.0
61,51.05,98,27,5.48,57.51
62,79.11,83,75,3.36,5.28
63,74.75,83,2,1.45,-1.83
64,59.94,94,0,2.62,-23.86
65,50.0,100,90,13.87,-42.48
66,65.52,55,0,3.04,-15.9
67,65.52,66,0,3.31,40.17
68,83.9,78,86,4.07,25.12
69,85.01,74,75,3.36,33.74
70,46.4,87,40,24.61,69.49
71,75.2,65,75,8.05,-0.74
72,41.72,79,76,15.66,72.79
73,82.71,74,75,19.46,22.08
74,56.45,64,57,10.78,71.97
75,45.21,72,78,6.11,-46.43
76,59.33,73,92,5.95,71.64
77,64.0,77,43,8.01,-33.59
78,63.59,77,0,6.93,-13.71
79,53.78,98,100,6.38,58.94
80,76.23,84,100,5.06,-0.92
81,71.65,49,1,5.82,42.65
82,61.5,55,20,16.11,47.66
83,76.96,36,1,9.17,45.36
84,60.8,23,100,24.16,60.91
85,79.34,80,67,15.23,-16.48
86,75.2,41,63,6.93,-15.77
87,32.15,97,100,12.62,73.51
88,66.2,37,75,12.75,65.28
89,42.05,96,100,17.74,50.68
90,79.52,78,40,9.17,6.8
91,64.22,39,75,10.29,68.22
92,55.67,100,75,6.93,-33.93
93,83.5,79,86,14.92,-0.6
94,85.98,43,75,6.93,60.79
95,66.2,72,20,2.24,43.32
96,79.22,79,100,3.15,17.54
97,84.99,88,100,3.0,22.82
98,75.2,29,75,6.93,63.59
99,48.2,100,75,9.17,-37.83
100,72.68,92,100,0.81,-2.54
101,51.03,68,8,9.35,69.38
102,57.63,82,0,19.48,-34.72
103,41.7,73,3,2.75,-28.19
104,56.68,57,0,4.34,44.17
105,78.8,94,90,5.41,10.32
106,53.6,76,0,4.7,-34.53
107,60.8,8,0,4.7,-22.46
108,73.4,43,0,11.18,64.42
109,69.44,46,0,12.75,45.6
110,53.33,74,0,3.78,-20.63
111,73.46,77,81,7.23,14.68
112,83.54,80,100,18.23,10.57
113,83.64,13,0,6.67,26.59
114,62.31,51,0,5.82,47.26
115,73.27,88,75,11.41,33.93
116,48.2,70,0,3.36,71.0
117,75.2,50,75,10.29,49.72
118,63.7,52,15,8.05,50.76
119,75.65,84,52,4.45,48.79
120,83.68,23,40,8.05,39.95
121,88.0,60,14,11.01,37.17
122,69.8,57,65,6.82,63.01
123,84.2,76,91,11.21,0.53
124,78.8,69,75,9.17,-15.51
125,60.39,72,99,10.09,54.9
126,65.84,93,93,1.5,24.52
127,51.01,75,100,18.01,-46.13
128,76.05,78,98,10.49,12.35
129,47.28,70,40,11.63,66.83
130,80.21,61,29,26.26,9.49
131,70.97,38,49,9.37,70.62
132,44.31,81,100,4.21,-34.48
133,70.67,65,49,3.47,63.29
134,75.4,81,5,2.06,-4.26
135,75.11,53,1,4.7,42.68
136,83.93,69,83,5.35,12.12
137,47.18,66,100,1.34,66.82
138,46.37,79,0,4.74,-30.97
